"KC2UEZ","K2JJI","20m","DIGITAL","4A","NNY","","0","0","4","06/13/17 02:14:54 PM"
"K2EOB","K2J","20m","DIGITAL","4A","NNY","","0","0","4","06/13/17 02:46:26 PM"
"K2EOB","HP1A","20m","DIGITAL","1A","DX","","0","0","4","06/13/17 02:46:48 PM"
"KC2UEZ","HP2C","20m","PHONE","1E","DX","","0","0","2","06/13/17 02:53:48 PM"
"KC2UEZ","M2M","20m","PHONE","1E","DX","","0","0","2","06/13/17 02:54:15 PM"
"KC2UEZ","HP3LOL","160m","PHONE","4A","DX","","1","0","2","06/15/17 09:18:44 AM"
"K2EOB","G3G","40m","DIGITAL","3A","DX","","1","0","4","06/15/17 09:19:32 AM"
"K2EOB","K2J","40m","DIGITAL","2A","NNY","","1","0","4","06/16/17 03:59:33 PM"
"K2EOB","T3ST","40m","DIGITAL","1A","NNY","","1","0","4","06/19/17 09:21:18 AM"
"K2EOB","NR4FK","40m","DIGITAL","2A","OH","","1","0","4","06/19/17 09:21:40 AM"
"KC2UEZ","HP3LOL","40m","DIGITAL","1A","DX","","1","0","4","06/19/17 01:04:30 PM"
